發生時間,發生地點,死亡受傷人數,車種,經度,緯度
111年01月01日 02時30分00秒,雲林縣虎尾鎮雲145公路路燈290570號,死亡1;受傷0,普通重型-機車,120.411444,23.686485
111年01月01日 06時07分42秒,屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車,120.489248,22.733474
111年01月01日 16時50分00秒,宜蘭縣南澳鄉台9線 117公里900.0公尺處附近,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.830743,24.490639
111年01月01日 19時20分00秒,南投縣仁愛鄉台14甲線 2公里500.0公尺處,死亡1;受傷1,普通重型-機車;乘客-人,121.143864,24.026000
111年01月01日 19時55分00秒,屏東縣屏東市和平路南側 / 屏東縣屏東市和平路東側,死亡1;受傷0,行人-人;自用-小客車,120.478264,22.672831
111年01月02日 08時00分53秒,宜蘭縣五結鄉中正路2段口 / 宜蘭縣五結鄉中正路2段口,死亡1;受傷1,普通重型-機車;自用-小客車,121.769642,24.693550
111年01月02日 10時12分00秒,嘉義縣水上鄉水上村正義路龍德地下道快車道,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.393775,23.426735
111年01月02日 12時00分29秒,新竹縣橫山鄉油羅溪橋北端,死亡1;受傷1,自用-小客車;大型重型1(550C.C.以上)-機車,121.124300,24.723004
111年01月02日 18時30分00秒,桃園市楊梅區台31線 21公里200.0公尺處北側向機車優先道,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.120670,24.942567
111年01月03日 06時19分00秒,新竹市北區海濱路266巷30號旁,死亡1;受傷0,自用-大貨車;行人-人,120.917700,24.830363
111年01月03日 14時36分13秒,臺南市學甲區秀昌里中正路與三民路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.183539,23.238279
111年01月03日 15時11分00秒,雲林縣二崙鄉崙西鄉中山路與民生路126巷,死亡1;受傷2,自用-曳引車;自用-小客車;乘客-人;乘客-人,120.425678,23.781693
111年01月03日 15時28分00秒,桃園市平鎮區洪圳路1168號前0.0公尺,死亡1;受傷0,普通重型-機車,121.242182,24.892017
111年01月03日 17時57分00秒,高雄市橋頭區鹽南路 / 高雄市橋頭區鹽南路建昌巷段,死亡1;受傷1,普通重型-機車;普通重型-機車,120.289087,22.744546
111年01月03日 20時17分00秒,臺北市內湖區金湖路371號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,121.603284,25.073360
111年01月03日 20時32分00秒,嘉義縣大林鎮西林里台1線251公里600公尺處東向機車優先道,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-大貨車,120.453833,23.605946
111年01月04日 02時51分00秒,臺北市信義區忠孝東路4段 / 臺北市信義區光復南路,死亡1;受傷0,行人-人;計程車-小客車,121.557744,25.041145
111年01月04日 05時40分39秒,臺南市仁德區文賢路2段106號前0.0公尺,死亡1;受傷1,自用-大貨車;自用-小客車;乘客-人,120.241365,22.918509
111年01月04日 06時13分00秒,新竹縣芎林鄉新鳳村燥坑1-1號前,死亡1;受傷0,租賃車-小客車;行人-人,121.085675,24.763831
111年01月04日 11時27分00秒,高雄市岡山區聖森路竹圍098燈桿號前0.0公尺前,死亡1;受傷0,營業用-大貨車;行人-人,120.312536,22.797866
